index,text,url,type
170,Code Emporium - https://www.youtube.com/c/CodeEmporium/videos ,https://www.youtube.com/c/CodeEmporium/videos,custom
171,Venelin Valkov - https://www.youtube.com/c/VenelinValkovBG,https://www.youtube.com/c/VenelinValkovBG,custom
172,Physics meets ML - https://www.youtube.com/channel/UCEugr9SHEXmvG8bg6e3y_bw,https://www.youtube.com/channel/UCEugr9SHEXmvG8bg6e3y_bw,channel
173,Joel Grus - https://www.youtube.com/c/JoelGrus/videos ,https://www.youtube.com/c/JoelGrus/videos,custom
174,Gradient Flow - https://www.youtube.com/c/GradientFlow,https://www.youtube.com/c/GradientFlow,custom
176,Towards Data Science - https://www.youtube.com/c/TowardsDataScience/videos ,https://www.youtube.com/c/TowardsDataScience/videos,custom
179,Mihaela van der Schaar - https://www.youtube.com/c/vanderSchaarLab/videos ,https://www.youtube.com/c/vanderSchaarLab/videos,custom
180,Ochieng Grivine (Nairobi) - https://www.youtube.com/channel/UCUS0WnK3cQZlfUC_2-AI8lw/videos ,https://www.youtube.com/channel/UCUS0WnK3cQZlfUC_2-AI8lw/videos,channel
181,Deep Learning at University of Wisconsin-Madison - https://www.youtube.com/channel/UCayl3MLmCHolyDMt43qg3WA/videos,https://www.youtube.com/channel/UCayl3MLmCHolyDMt43qg3WA/videos,channel
182,Microsoft Research - https://youtube.com/user/MicrosoftResearch,https://youtube.com/user/MicrosoftResearch,user
183,Bugout Dev - https://www.youtube.com/channel/UCLVwTlHSiTl05av2GIDPtvQ/videos ,https://www.youtube.com/channel/UCLVwTlHSiTl05av2GIDPtvQ/videos,channel
184,Saturn Cloud - https://www.youtube.com/channel/UCADT4bgaV94IVkpABEY7iiA/videos ,https://www.youtube.com/channel/UCADT4bgaV94IVkpABEY7iiA/videos,channel
186,Abacus AI - https://youtube.com/channel/UCWkeYEk-coq5acIssizfN2Q,https://youtube.com/channel/UCWkeYEk-coq5acIssizfN2Q,channel
187,OctoML - https://youtube.com/channel/UCbUrHpUyw2q5s-oe6t8ljnA,https://youtube.com/channel/UCbUrHpUyw2q5s-oe6t8ljnA,channel
188,Comarl - https://youtube.com/channel/UCGlIUMgFMYGNKuVyF97ltUQ,https://youtube.com/channel/UCGlIUMgFMYGNKuVyF97ltUQ,channel
189,Preserve Knowledge - https://youtube.com/c/PreserveKnowledge,https://youtube.com/c/PreserveKnowledge,custom
190,Machine Learning with Phil - https://youtube.com/c/MachineLearningwithPhil,https://youtube.com/c/MachineLearningwithPhil,custom
191,CLSP (JHU) - https://www.youtube.com/channel/UCWWiAEF7PMk-OK0-rwGITIg/playlists ,https://www.youtube.com/channel/UCWWiAEF7PMk-OK0-rwGITIg/playlists,channel
192,ACM - https://www.youtube.com/user/TheOfficialACM/playlists ,https://www.youtube.com/user/TheOfficialACM/playlists,user
193,ACM RecSys - https://www.youtube.com/channel/UC2nEn-yNA1BtdDNWziphPGA/videos ,https://www.youtube.com/channel/UC2nEn-yNA1BtdDNWziphPGA/videos,channel
194,altdeep - https://www.youtube.com/channel/UCopQd3S1UGsEwqs5Dy2kQwg/videos  - https://www.twitch.tv/altdeepai/videos ,https://www.youtube.com/channel/UCopQd3S1UGsEwqs5Dy2kQwg/videos,channel
195,Jay Alammar - https://www.youtube.com/channel/UCmOwsoHty5PrmE-3QhUBfPQ/videos ,https://www.youtube.com/channel/UCmOwsoHty5PrmE-3QhUBfPQ/videos,channel
196,Radical AI - https://youtube.com/channel/UCdZT3AdtIHfM8kX6FFSKkxQ,https://youtube.com/channel/UCdZT3AdtIHfM8kX6FFSKkxQ,channel
197,Augmented startups - https://youtube.com/channel/UCFJPdVHPZOYhSyxmX_C_Pew,https://youtube.com/channel/UCFJPdVHPZOYhSyxmX_C_Pew,channel
198,Dask - https://youtube.com/c/Dask-dev,https://youtube.com/c/Dask-dev,custom
200,Friends of Tracking - https://www.youtube.com/channel/UCUBFJYcag8j2rm_9HkrrA7w/videos ,https://www.youtube.com/channel/UCUBFJYcag8j2rm_9HkrrA7w/videos,channel
201,Normalised Nerd - https://youtube.com/c/NormalizedNerd,https://youtube.com/c/NormalizedNerd,custom
202,AI Coffee Break - https://www.youtube.com/c/AICoffeeBreak/videos ,https://www.youtube.com/c/AICoffeeBreak/videos,custom
203,Robert Monarch(NLP) -https://www.youtube.com/channel/UCjK2LOJJy9gomvzcfUFgdDA/videos ,https://www.youtube.com/channel/UCjK2LOJJy9gomvzcfUFgdDA/videos,channel
204,Data Professor - https://youtube.com/c/DataProfessor,https://youtube.com/c/DataProfessor,custom
205,Ken Jee - https://youtube.com/c/KenJee1,https://youtube.com/c/KenJee1,custom
206,Tina Huang - https://youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,https://youtube.com/channel/UC2UXDak6o7rBm23k3Vv5dww,channel
207,Code Basics - https://youtube.com/c/codebasics,https://youtube.com/c/codebasics,custom
208,Andrew Mo - https://youtube.com/c/AndrewMoMoney,https://youtube.com/c/AndrewMoMoney,custom
210,Anaconda - https://youtube.com/c/ContinuumIo,https://youtube.com/c/ContinuumIo,custom
211,NVIDIA Developer - https://youtube.com/user/NVIDIADeveloper,https://youtube.com/user/NVIDIADeveloper,user
212,SambaNova - https://www.youtube.com/channel/UCuu0tV6DbiI1tYiSsXI_KeA/videos ,https://www.youtube.com/channel/UCuu0tV6DbiI1tYiSsXI_KeA/videos,channel
213,ClearML - https://www.youtube.com/c/ClearML/videos ,https://www.youtube.com/c/ClearML/videos,custom
214,Data Umbrella - https://youtube.com/c/DataUmbrella,https://youtube.com/c/DataUmbrella,custom
215,InstaDeep - https://www.youtube.com/channel/UCTEgowmo98A-VI53vwmkmhg/videos ,https://www.youtube.com/channel/UCTEgowmo98A-VI53vwmkmhg/videos,channel
216,Setu Chokshi (Global AI) - https://youtube.com/c/SetuChokshi,https://youtube.com/c/SetuChokshi,custom
217,Let’s talk data - https://www.youtube.com/c/TheInformationLabCoUK/featured ,https://www.youtube.com/c/TheInformationLabCoUK/featured,custom
218,Data science LA -  https://youtube.com/c/DataScienceLA,https://youtube.com/c/DataScienceLA,custom
219,Qubole - https://www.youtube.com/channel/UCdaKBmX6_bDFhsHjec_ovLQ,https://www.youtube.com/channel/UCdaKBmX6_bDFhsHjec_ovLQ,channel
220,Chicago ML - https://youtube.com/channel/UCH99twkwBNwN-IBQjoHwdCQ,https://youtube.com/channel/UCH99twkwBNwN-IBQjoHwdCQ,channel
221,NY AI School - https://www.youtube.com/channel/UCa3zFn8tzw6GaBKZUzifM9A/videos,https://www.youtube.com/channel/UCa3zFn8tzw6GaBKZUzifM9A/videos,channel
222,Data Festival - https://youtube.com/channel/UCYuxbq0trkgoaoN72eJi8dA,https://youtube.com/channel/UCYuxbq0trkgoaoN72eJi8dA,channel
223,Matthew Rocklin -  https://youtube.com/c/MatthewRocklin,https://youtube.com/c/MatthewRocklin,custom
224,RichardOnData - https://youtube.com/c/RichardOnData,https://youtube.com/c/RichardOnData,custom
225,DataPhilly - https://youtube.com/channel/UCvwDejnW-Q49xEb667JqS-g,https://youtube.com/channel/UCvwDejnW-Q49xEb667JqS-g,channel
226,Smita Kolan - https://youtube.com/c/SmithaKolan,https://youtube.com/c/SmithaKolan,custom
227,AIP Riken - https://www.youtube.com/channel/UCipPccqvcfychKNOaYUokyQ/videos ,https://www.youtube.com/channel/UCipPccqvcfychKNOaYUokyQ/videos,channel
228,MKAI - https://www.youtube.com/user/rfosterfletcher/videos ,https://www.youtube.com/user/rfosterfletcher/videos,user
229,Richard Foster (MKAI) - https://www.youtube.com/channel/UC62ScVTFf3GpDC5gXDesfEQ/videos ,https://www.youtube.com/channel/UC62ScVTFf3GpDC5gXDesfEQ/videos,channel
230,Language Technology CMU - https://youtube.com/c/LTIatCMU,https://youtube.com/c/LTIatCMU,custom
231,CMU AI - https://www.youtube.com/channel/UCLh3OUmBGe4wPyVZiI771ng/videos ,https://www.youtube.com/channel/UCLh3OUmBGe4wPyVZiI771ng/videos,channel
232,San Francisco Bay ACM - https://youtube.com/c/SfbayacmOrg,https://youtube.com/c/SfbayacmOrg,custom
233,ValleML - https://youtube.com/channel/UCY15whY8GyA3DgjZFPdHfAQ,https://youtube.com/channel/UCY15whY8GyA3DgjZFPdHfAQ,channel
234,Data Science Cornwall - https://www.youtube.com/channel/UCMxUmQFr0_dyW8JTLDiOeNQ/videos ,https://www.youtube.com/channel/UCMxUmQFr0_dyW8JTLDiOeNQ/videos,channel
235,OMLDS - https://youtube.com/channel/UCoTuN2KVQHpnAOO9nM9354Q,https://youtube.com/channel/UCoTuN2KVQHpnAOO9nM9354Q,channel
